[2025-07-12 01:35:13,501] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:35:13,950] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:35:14,392] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:35:14,798] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:35:15,204] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:35:15,704] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:35:16,124] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:35:16,588] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:35:16,982] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:35:17,433] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:35:17,837] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:35:18,337] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:35:22,212] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:36:26,116] INFO: Iniciando geração do boxplot...
[2025-07-12 01:36:26,116] INFO: Criptomoedas disponíveis: ['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'DOT', 'ETH', 'SHIB', 'SOL', 'XRP']
[2025-07-12 01:36:26,118] INFO: Total de dados coletados para o boxplot: 22777
[2025-07-12 01:36:26,125] INFO: DataFrame do boxplot criado com shape: (22777, 2)
[2025-07-12 01:36:26,627] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:36:27,295] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:36:27,734] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:36:28,132] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:36:28,532] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:36:28,937] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:36:29,313] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:36:29,712] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:36:30,201] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:36:30,588] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:36:31,016] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:36:31,409] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:36:34,702] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:38:09,044] INFO: Iniciando geração do boxplot...
[2025-07-12 01:38:09,044] INFO: Criptomoedas disponíveis: ['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'DOT', 'ETH', 'SHIB', 'SOL', 'XRP']
[2025-07-12 01:38:09,047] INFO: Total de dados coletados para o boxplot: 22777
[2025-07-12 01:38:09,056] INFO: DataFrame do boxplot criado com shape: (22777, 2)
[2025-07-12 01:38:09,595] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:38:10,080] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:38:10,559] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:38:11,009] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:38:11,599] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:38:12,058] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:38:12,495] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:38:12,911] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:38:13,329] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:38:13,779] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:38:14,301] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:38:14,716] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:38:18,210] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 02:25:54,815] INFO: Iniciando geração do boxplot...
[2025-07-12 02:25:54,815] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:25:54,816] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:25:54,816] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 02:25:55,338] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-9/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:25:55,945] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-9/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:25:56,575] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-9/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 02:30:26,329] INFO: Iniciando geração do boxplot...
[2025-07-12 02:30:26,329] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:30:26,330] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:30:26,331] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 02:30:26,825] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-10/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:30:27,476] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-10/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:30:28,004] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-10/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 02:30:31,939] INFO: Iniciando geração do boxplot...
[2025-07-12 02:30:31,940] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:30:31,940] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:30:31,943] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 02:30:32,544] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-11/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:30:33,039] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-11/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:30:33,496] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-11/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 02:32:57,034] INFO: Iniciando geração do boxplot...
[2025-07-12 02:32:57,035] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:32:57,035] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:32:57,036] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 02:32:57,599] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-12/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:32:58,132] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-12/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:32:58,629] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-12/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 02:37:23,900] INFO: Iniciando geração do boxplot...
[2025-07-12 02:37:23,900] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:37:23,900] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:37:23,901] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 02:37:24,333] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-13/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:37:24,870] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-13/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:37:25,385] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-13/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 02:39:38,646] INFO: Iniciando geração do boxplot...
[2025-07-12 02:39:38,646] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:39:38,646] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:39:38,647] INFO: DataFrame do boxplot criado com shape: (20, 2)
[2025-07-12 02:39:39,165] INFO: Boxplot salvo em: /tmp/pytest-of-root/pytest-14/test_boxplot_creation0/boxplot_fechamento.png
[2025-07-12 02:39:39,631] INFO: Histograma salvo em: /tmp/pytest-of-root/pytest-14/test_histogram_creation0/histograma_fechamento.png
[2025-07-12 02:39:40,109] INFO: Gráfico linha salvo para TEST em: /tmp/pytest-of-root/pytest-14/test_line_graph_creation0/TEST_linha_resumo.png
[2025-07-12 02:40:02,656] INFO: Iniciando geração do boxplot...
[2025-07-12 02:40:02,657] INFO: Criptomoedas disponíveis: ['BTC', 'ETH']
[2025-07-12 02:40:02,657] INFO: Total de dados coletados para o boxplot: 20
[2025-07-12 02:40:02,658] INFO: DataFrame do boxplot criado com shape: (20, 2)
